ET,SA,SR,IA,FZ,V,P,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
0,0.113026752,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-5.880257155,-1987.305097,20.58426771,0,26.4355459,1453.762311,0.194498165,0,0
0,0.117511479,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-9.243138565,-1953.773036,21.33272392,0,26.01796732,1125.058954,0.189509589,0,0
0,0.122743427,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-13.56493025,-1997.534642,21.53471747,0,24.12154848,1404.900119,0.189936079,0,0
0,0.129176944,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-7.366941904,-2056.998621,21.69580213,0,23.12412263,1739.59917,0.192478584,0,0
0,0.133389759,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-8.719308775,-2060.249121,22.44952704,0,23.16411206,1094.13506,0.191651911,0,0
0,0.138550129,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-11.7603802,-2068.014267,22.22943674,0,21.30324827,567.2588928,0.189708821,0,0
0,0.145640876,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-9.75282677,-2100.32556,22.75063874,0,18.85372592,1155.890413,0.191308477,0,0
0,0.151185064,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-9.381067477,-2109.213562,23.2946819,0,18.2997328,1144.039893,0.191559151,0,0
0,0.154427547,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-9.205915927,-2114.939226,22.61975204,0,18.03350385,1319.933205,0.190456361,0,0
0,0.161361545,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-12.10077476,-2118.484395,23.29749473,0,14.64546213,1541.201816,0.190795918,0,0
0,0.166593082,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-7.82083737,-2136.553835,23.37080582,0,16.11208345,1132.968305,0.191563781,0,0
0,0.171176458,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-6.970171936,-2137.790177,22.89553759,0,14.30682636,2193.856909,0.190992001,0,0
0,0.177345315,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-13.09043612,-2129.134445,23.19894222,0,10.90074818,1673.055751,0.190844187,0,0
0,0.182395751,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-4.906330627,-2134.282153,23.34980295,0,14.73131192,1360.674596,0.190500081,0,0
0,0.187854916,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-5.389302321,-2132.355042,22.60196101,0,11.23073426,1040.01943,0.190070143,0,0
0,0.193299222,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-19.60837845,-2118.230898,23.44041,0,5.727237642,1512.867458,0.190335104,0,0
0,0.198576928,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-2.151203929,-2125.545251,23.20938223,0,12.98041724,1395.421234,0.189946607,0,0
0,0.204032937,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-8.594460467,-2110.650308,23.67989952,0,7.429284099,1028.928883,0.18910552,0,0
0,0.209096706,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-36.54950886,-2108.416993,22.41616482,0,-4.536068996,1516.569984,0.188366384,0,0
0,0.213888126,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-12.27617288,-2117.28922,23.31871366,0,3.231777111,233.826133,0.191291129,0,0
